Familia linguistica y pueblo indigena;Total de maestros que ensenan en las comunidades;A que pueblo pertenece - Ache;A que pueblo pertenece - Ava Guarani;A que pueblo pertenece - Mbya Guarani;A que pueblo pertenece - Pai Tavytera;A que pueblo pertenece - Guarani Occidental / Pueblo Guarani;A que pueblo pertenece - Guarani Nandeva;A que pueblo pertenece - Enlhet Norte;A que pueblo pertenece - Enxet Sur;A que pueblo pertenece - Sanapana;A que pueblo pertenece - Angaite;A que pueblo pertenece - Guana;A que pueblo pertenece - Toba Maskoy / Toba Enenlhet;A que pueblo pertenece - Nivacle;A que pueblo pertenece - Maka;A que pueblo pertenece - Manjui;A que pueblo pertenece - Ayoreo;A que pueblo pertenece - Ybytoso;A que pueblo pertenece - Tomaraho;A que pueblo pertenece - Qom;A que pueblo pertenece - No indigena;A que pueblo pertenece - No  Reportado
Total;1.511;21;301;151;85;30;25;56;60;24;42;6;14;107;11;1;27;25;3;37;443;42
;;;;;;;;;;;;;;;;;;;;;;
      Guarani;967;21;300;151;85;28;25; -     ; -     ; -     ; -     ; -     ; -     ;2; -     ; -     ; -     ; -     ; -     ;1;345;9
             Ache;30;21;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;8; - 
             Ava Guarani;387; -     ;283;1; -     ;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;95;7
             Mbya Guarani;381; -     ;11;147;3;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1;216;2
             Pai Tavytera;115; -     ;5;3;82;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;23; - 
             Guarani Occidental / Pueblo Guarani;27; -     ; -     ; -     ; -     ;22;2; -     ; -     ; -     ; -     ; -     ; -     ;2; -     ; -     ; -     ; -     ; -     ; -     ;1; - 
             Guarani Nandeva;27; -     ; -     ; -     ; -     ;2;23; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; - 
      Lengua Maskoy;303; -     ;1; -     ; -     ; -     ; -     ;56;60;24;42;6;14; -     ; -     ; -     ;1; -     ; -     ;4;77;18
             Enlhet Norte;79; -     ; -     ; -     ; -     ; -     ; -     ;54;1; -     ; -     ; -     ;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ;15;7
             Enxet Sur;92; -     ;1; -     ; -     ; -     ; -     ;2;59;2;1; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ;4;22; - 
             Sanapana;41; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;20; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;11;10
             Angaite;68; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2;38;1;3; -     ; -     ; -     ; -     ; -     ; -     ; -     ;24; - 
             Guana;8; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;5;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ;2; - 
             Toba Maskoy / Toba Enenlhet;15; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;3; -     ;8; -     ; -     ; -     ; -     ; -     ; -     ; -     ;3;1
      Mataco - Mataguayo;129; -     ; -     ; -     ; -     ;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ;105;11;1; -     ; -     ; -     ; -     ;8;2
             Nivacle;115; -     ; -     ; -     ; -     ;2; -     ; -     ; -     ; -     ; -     ; -     ; -     ;105; -     ; -     ; -     ; -     ; -     ; -     ;6;2
             Maka;13; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;11; -     ; -     ; -     ; -     ; -     ;2; - 
             Manjui;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ; - 
      Zamuco;72; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;26;25;3; -     ;5;13
             Ayoreo;43; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;26; -     ; -     ; -     ;4;13
             Ybytoso;26; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;25; -     ; -     ;1; - 
             Tomaraho;3; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;3; -     ; -     ; - 
      Guaicuru;40; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;32;8; -     
             Qom;40; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;32;8; - 
      Region Oriental ;947;21;300;151;85;8; -     ; -     ;1; -     ; -     ;1; -     ; -     ;6; -     ; -     ;3; -     ;8;354;9
      Region Occidental ;564; -     ;1; -     ; -     ;22;25;56;59;24;42;5;14;107;5;1;27;22;3;29;89;33
