Familia linguistica y pueblo indigena;Total de maestros que ensenan en las comunidades, aldeas o barrios ;Vive en la aldea/barrio - Si;Vive en la aldea/barrio - No;Vive en la aldea/barrio - No Responde
Total;1.511;930;455;126
     Guarani;967;508;392;67
           Ache;30;25;5; - 
           Ava Guarani;387;235;120;32
           Mbya Guarani;381;139;221;21
           Pai Tavytera;115;68;37;10
           Guarani Occidental / Pueblo Guarani;27;20;3;4
           Guarani Nandeva;27;21;6; - 
     Lengua Maskoy;303;229;40;34
           Enlhet Norte;79;48;8;23
           Enxet Sur;92;66;25;1
           Sanapana;41;40;1; - 
           Angaite;68;59;4;5
           Guana;8;3;1;4
           Toba Maskoy / Toba Enenlhet;15;13;1;1
     Mataco - Mataguayo;129;105;14;10
           Nivacle;115;94;12;9
           Maka;13;11;2; - 
           Manjui;1; - ; - ;1
     Zamuco;72;57;2;13
           Ayoreo;43;32;2;9
           Ybytoso;26;22; - ;4
           Tomaraho;3;3; - ; - 
     Guaicuru;40;31;7;2
           Qom;40;31;7;2
     Region Oriental ;947;488;391;68
     Region Occidental ;564;442;64;58
