Familia linguistica y pueblo indigena;Total de maestros que ensenan en las comunidades, aldeas o barrios;En que lengua o idioma habla  - Guarani;En que lengua o idioma habla - Castellano;En que lengua o idioma habla - Portugues;En que lengua o idioma habla - Ache;En que lengua o idioma habla - Ava Guarani;En que lengua o idioma habla - Mbya Guarani;En que lengua o idioma habla - Pai Tavytera;En que lengua o idioma habla - Guarani Occidental / Pueblo Guarani;En que lengua o idioma habla - Guarani Nandeva;En que lengua o idioma habla - Enlhet Norte;En que lengua o idioma habla - Enxet Sur;En que lengua o idioma habla - Sanapana;En que lengua o idioma habla - Angaite;En que lengua o idioma habla - Guana;En que lengua o idioma habla - Toba Maskoy / Toba Enenlhet;En que lengua o idioma habla - Nivacle;En que lengua o idioma habla - Maka;En que lengua o idioma habla - Ayoreo;En que lengua o idioma habla - Ybytoso;En que lengua o idioma habla - Tomaraho;En que lengua o idioma habla - Qom;En que lengua o idioma habla - No Reportado
Total;1.511;1.181;926;2;21;2;11;16;9;7;23;34;6;11;4;5;76;11;31;22;2;31;54
     Guarani;967;906;556;2;21;2;11;16;8;7; -     ; -     ; -     ; -     ; -     ; -     ;2; -     ; -     ; -     ; -     ; -     ;30
            Ache;30;25;24; - ;21; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
            Ava Guarani;387;370;252;2; - ;2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;13
            Mbya Guarani;381;363;200; - ; - ; - ;11; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;12
            Pai Tavytera;115;106;55; - ; - ; - ; - ;16; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;4
            Guarani Occidental / Pueblo Guarani;27;19;14; - ; - ; - ; - ; - ;7; - ; - ; - ; - ; - ; - ; - ;2; - ; - ; - ; - ; - ; - 
            Guarani Nandeva;27;23;11; - ; - ; - ; - ; - ; - ;7; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
     Lengua Maskoy;303;213;222; -     ; -     ; -     ; -     ; -     ; -     ; -     ;23;34;6;11;4;5; -     ; -     ;1; -     ; -     ;3;11
            Enlhet Norte;79;16;68; - ; - ; - ; - ; - ; - ; - ;21; - ; - ; - ; - ;2; - ; - ; - ; - ; - ; - ;9
            Enxet Sur;92;80;73; - ; - ; - ; - ; - ; - ; - ;2;34; - ; - ; - ; - ; - ; - ;1; - ; - ;3; - 
            Sanapana;41;35;25; - ; - ; - ; - ; - ; - ; - ; - ; - ;6; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
            Angaite;68;65;48; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;11;1; - ; - ; - ; - ; - ; - ; - ; - 
            Guana;8;6;6; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;3; - ; - ; - ; - ; - ; - ; - ;1
            Toba Maskoy / Toba Enenlhet;15;11;2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;3; - ; - ; - ; - ; - ; - ;1
     Mataco - Mataguayo;129;24;100; -     ; -     ; -     ; -     ; -     ;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ;74;11; -     ; -     ; -     ; -     ;4
            Nivacle;115;23;94; - ; - ; - ; - ; - ;1; - ; - ; - ; - ; - ; - ; - ;74; - ; - ; - ; - ; - ;3
            Maka;13;1;6; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;11; - ; - ; - ; - ; - 
            Manjui;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
     Zamuco;72;8;26; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;30;22;2; -     ;7
            Ayoreo;43;4;17; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;30; - ; - ; - ;4
            Ybytoso;26;4;8; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;22; - ; - ;3
            Tomaraho;3; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;2; - ; - 
     Guaicuru;40;30;22; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;28;2
            Qom;40;30;22; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;28;2
     Region Oriental ;947;883;555;2;21;2;11;16;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ;6; -     ; -     ; -     ;7;34
     Region Occidental ;564;298;371; -     ; -     ; -     ; -     ; -     ;8;7;23;34;6;11;4;5;76;5;31;22;2;24;20
