Familia linguistica y pueblo indigena ;Total de maestros que ensenan en las comunidades, aldeas o barrios;Asiste todos los dias a la clase - Si asiste;Asiste todos los dias a la clase - No asiste;Asiste todos los dias a la clase - No reportado;Razon por la que no asiste a clase - Vive lejos de la aldea;Razon por la que no asiste a clase - Problemas con miembros de la aldea;Razon por la que no asiste a clase - No tiene materiales de ensenanza;Razon por la que no asiste a clase - Pandemia;Razon por la que no asiste a clase - Recursos economicos limitados;Razon por la que no asiste a clase - Otra causa;Razon por la que no asiste a clase - No reportado
Total;1.511;1.337;118;56;46;1;16;13;7;27;8
     Guarani;967;864;74;29;35;1;8;2;7;17;4
          Ache;30;30; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
          Ava Guarani;387;346;28;13;9; -     ;3;2;5;7;2
          Mbya Guarani;381;343;29;9;12;1;5; -     ;1;8;2
          Pai Tavytera;115;97;15;3;12; -     ; -     ; -     ;1;2; -     
          Guarani Occidental / Pueblo Guarani;27;23; -     ;4; -     ; -     ; -     ; -     ; -     ; -     ; -     
          Guarani Nandeva;27;25;2; -     ;2; -     ; -     ; -     ; -     ; -     ; -     
     Lengua Maskoy;303;254;33;16;11; -     ; -     ;11; -     ;7;4
          Enlhet Norte;79;67;1;11; -     ; -     ; -     ; -     ; -     ; -     ;1
          Enxet Sur;92;74;18; -     ;4; -     ; -     ;7; -     ;4;3
          Sanapana;41;33;8; -     ;7; -     ; -     ; -     ; -     ;1; -     
          Angaite;68;66;2; -     ; -     ; -     ; -     ; -     ; -     ;2; -     
          Guana;8;4; -     ;4; -     ; -     ; -     ; -     ; -     ; -     ; -     
          Toba Maskoy / Toba Enenlhet;15;10;4;1; -     ; -     ; -     ;4; -     ; -     ; -     
     Mataco - Mataguayo;129;120;5;4; -     ; -     ;2; -     ; -     ;3; -     
          Nivacle;115;106;5;4; -     ; -     ;2; -     ; -     ;3; -     
          Maka;13;13; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
          Manjui;1;1; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
     Zamuco;72;59;6;7; -     ; -     ;6; -     ; -     ; -     ; -     
          Ayoreo;43;32;4;7; -     ; -     ;4; -     ; -     ; -     ; -     
          Ybytoso;26;26; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
          Tomaraho;3;1;2; -     ; -     ; -     ;2; -     ; -     ; -     ; -     
     Guaicuru;40;40; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
          Qom;40;40; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
     Region Oriental ;947;850;72;25;33;1;8;2;7;17;4
     Region Occidental ;564;487;46;31;13; -     ;8;11; -     ;10;4
