Familia linguistica y pueblo indigena; Total de maestros que ensenan en las comunidades, aldeas o barrios ;Tiene sueldo - Si tiene;Tiene sueldo - No tiene;Tiene sueldo - No reportad;Quien le paga - Institucion Publica;Quien le paga - Iglesia;Quien le paga - Fundaciones;Quien le paga - Otro;Quien le paga - No reportado
Total;1.511;1.415;50;46;1.316;2;1;28;68
     Guarani;967;908;39;20;861; -     ;1;16;30
           Ache;30;20;10; -     ;15; -     ; -     ; -     ;5
           Ava Guarani;387;365;14;8;358; -     ;1;5;1
           Mbya Guarani;381;360;12;9;337; -     ; -     ;5;18
           Pai Tavytera;115;110;2;3;103; -     ; -     ;1;6
           Guarani Occidental / Pueblo Guarani;27;27; -     ; -     ;22; -     ; -     ;5; -     
           Guarani Nandeva;27;26;1; -     ;26; -     ; -     ; -     ; -     
     Lengua Maskoy;303;281;4;18;253;1; -     ; -     ;27
           Enlhet Norte;79;68; -     ;11;58; -     ; -     ; -     ;10
           Enxet Sur;92;91;1; -     ;90;1; -     ; -     ; -     
           Sanapana;41;39; -     ;2;34; -     ; -     ; -     ;5
           Angaite;68;65;3; -     ;53; -     ; -     ; -     ;12
           Guana;8;4; -     ;4;4; -     ; -     ; -     ; -     
           Toba Maskoy / Toba Enenlhet;15;14; -     ;1;14; -     ; -     ; -     ; -     
     Mataco - Mataguayo;129;125;2;2;109;1; -     ;11;4
           Nivacle;115;111;2;2;97;1; -     ;9;4
           Maka;13;13; -     ; -     ;11; -     ; -     ;2; -     
           Manjui;1;1; -     ; -     ;1; -     ; -     ; -     ; -     
     Zamuco;72;61;5;6;57; -     ; -     ;1;3
           Ayoreo;43;32;5;6;29; -     ; -     ; -     ;3
           Ybytoso;26;26; -     ; -     ;25; -     ; -     ;1; -     
           Tomaraho;3;3; -     ; -     ;3; -     ; -     ; -     ; -     
     Guaicuru;40;40; -     ; -     ;36; -     ; -     ; -     ;4
           Qom;40;40; -     ; -     ;36; -     ; -     ; -     ;4
     Region Oriental ;947;889;38;20;841; -     ;1;13;34
     Region Occidental ;564;526;12;26;475;2; -     ;15;34
