territory_name,department,approx_area_km2,source
Ache,Canindeyu,5343,INDI (placeholder)
Avá Guaraní - Itakyry,Alto Parana,5915,INDI (placeholder)
Ayoreo - Totobiegosode,Alto Paraguay,5500,INDI (placeholder)
Enlhet Norte - 12 de Octubre,Boqueron,4250,INDI (placeholder)
Enlhet Sur - Yalve Sanga,Boqueron,1100,INDI (placeholder)
Enxet Sur - Nueva Vida,Boqueron,350,INDI (placeholder)
Guaraní Ñandeva - 3 de Mayo,Caaguazu,2300,INDI (placeholder)
Guaraní Occidental - Yshir,Boqueron,4200,INDI (placeholder)
Mbyá Guaraní - Mbarakay,Caaguazu,580,INDI (placeholder)
Nivaclé - 12 de Junio,Boqueron,2950,INDI (placeholder)
Pai Tavytera - Guyra Ñeha,Amambay,9000,INDI (placeholder)
Sanapaná - Karchabaliet,Concepcion,720,INDI (placeholder)
Toba Qom - San Lorenzo,Presidente Hayes,1800,INDI (placeholder)
