pueblo,comunidades_count_2022,region
        Ache,6,Unknown
        Ava Guarani,150,Unknown
        Mbya Guarani,200,Unknown
        Pai Tavytera,61,Unknown
        Guarani Occidental / Pueblo Guarani,6,Unknown
        Guarani Nandeva,7,Unknown
        Enlhet Norte,11,Unknown
        Enxet Sur,14,Unknown
        Sanapana,8,Unknown
        Angaite,13,Unknown
        Guana,2,Unknown
        Toba Maskoy / Toba Enenlhet,3,Unknown
        Nivacle,23,Unknown
        Maka,4,Unknown
        Manjui,2,Unknown
        Ayoreo,26,Unknown
        Ybytoso,8,Unknown
        Tomaraho,1,Unknown
        Qom,12,Unknown
