department,total_population,indigenous_population,indigenous_pct,top_ethnicity,source
Asuncion,521000,1563,0.3,Ava Guarani,INE 2022 (placeholder)
Concepcion,250000,10249,4.1,Nivacle/Enlhet,INE 2022 (placeholder)
San Pedro,435000,7830,1.8,Ava Guarani,INE 2022 (placeholder)
Cordillera,320000,3840,1.2,Ava Guarani,INE 2022 (placeholder)
Guaira,230000,1150,0.5,Ava Guarani,INE 2022 (placeholder)
Caaguazu,540000,3780,0.7,Ava Guarani,INE 2022 (placeholder)
Caazapa,195000,2925,1.5,Ava Guarani,INE 2022 (placeholder)
Itapua,615000,2460,0.4,Ava Guarani,INE 2022 (placeholder)
Misiones,125000,125,0.1,Ava Guarani,INE 2022 (placeholder)
Paraguari,250000,1000,0.4,Ava Guarani,INE 2022 (placeholder)
Alto Parana,825000,16500,2.0,Guarani Mbya,INE 2022 (placeholder)
Central,2180000,13080,0.6,Ava Guarani,INE 2022 (placeholder)
Neembucu,85000,85,0.1,Ava Guarani,INE 2022 (placeholder)
Amambay,175000,14875,8.5,Pai Tavytera,INE 2022 (placeholder)
Canindeyu,235000,9870,4.2,Pai Tavytera,INE 2022 (placeholder)
Presidente Hayes,130000,21840,16.8,Nivacle/Enlhet,INE 2022 (placeholder)
Alto Paraguay,18000,4752,26.4,Nivacle/Enlhet,INE 2022 (placeholder)
Boqueron,65000,25025,38.5,Nivacle/Enlhet,INE 2022 (placeholder)
